Name,Location,Pets,Pool,Sauna
The Urban Oasis,New York,Yes,Yes,Yes
Seaside Retreat,Los Angeles,No,Yes,No
Mountain Getaway,Chicago,Yes,No,No
City Lights Loft,Houston,No,Yes,No
Desert Haven,Phoenix,Yes,No,Yes
The Cozy Cottage,Philadelphia,No,No,No
Rustic Retreat,San Antonio,Yes,Yes,No
Luxury Villa,San Diego,No,Yes,Yes
Treehouse Escape,Dallas,Yes,No,Yes
The Lake House,San Jose,No,Yes,No
Penthouse Paradise,Austin,Yes,No,No
The Artful Abode,Jacksonville,No,No,No
Cabin in the Woods,Fort Worth,Yes,Yes,Yes
Modern Marvel,Columbus,No,No,No
The Historic Inn,Charlotte,Yes,No,No
The Beach Bungalow,San Francisco,No,Yes,No
The Chic Chalet,Indianapolis,Yes,No,Yes
Suburban Sanctuary,Seattle,No,No,No
The Urban Hideaway,Denver,Yes,Yes,No
The Grand Manor,Washington D.C.,No,No,No
Skyline Serenity,Boston,Yes,No,Yes
The Hidden Gem,El Paso,No,Yes,No
The Bohemian Bungalow,Detroit,Yes,No,No
Sunset Suite,Nashville,No,No,No
Nature’s Nest,Portland,Yes,Yes,Yes
The Minimalist Retreat,Memphis,No,No,No
The Royal Residence,Oklahoma City,Yes,No,No
The Designer Den,Las Vegas,No,Yes,No
The Tranquil Terrace,Louisville,Yes,No,Yes
The Vintage Villa,Baltimore,No,No,No
